
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="SCE_Mean",="SPFCPI_Mean",="SPFPCE_Mean",="SCE_Var",="SPFCPI_Var",="SPFPCE_Var",="SCE_Disg",="SPFCPI_Disg",="SPFPCE_Disg",="SCE_FE",="SPFCPI_FE",="SPFPCE_FE"

="L.InfExp_Mean_ch",="0.423",="0.252",="0.310",="",="",="",="",="",="",="",="",=""
="",="(0.226)",="(0.161)",="(0.166)",="",="",="",="",="",="",="",="",=""

="L2.InfExp_Mean_ch",="0.189",="-0.114",="-0.162",="",="",="",="",="",="",="",="",=""
="",="(0.225)",="(0.172)",="(0.174)",="",="",="",="",="",="",="",="",=""

="L3.InfExp_Mean_ch",="-0.240",="-0.0948",="-0.0353",="",="",="",="",="",="",="",="",=""
="",="(0.350)",="(0.211)",="(0.147)",="",="",="",="",="",="",="",="",=""

="L4.InfExp_Mean_ch",="0.0458",="0.0835",="0.0135",="",="",="",="",="",="",="",="",=""
="",="(0.324)",="(0.163)",="(0.166)",="",="",="",="",="",="",="",="",=""

="L.InfExp_Var_ch",="",="",="",="0.0271",="-0.598***",="-0.622***",="",="",="",="",="",=""
="",="",="",="",="(0.237)",="(0.112)",="(0.132)",="",="",="",="",="",=""

="L2.InfExp_Var_ch",="",="",="",="-0.203",="-0.668***",="-0.436**",="",="",="",="",="",=""
="",="",="",="",="(0.134)",="(0.128)",="(0.138)",="",="",="",="",="",=""

="L3.InfExp_Var_ch",="",="",="",="0.00271",="-0.584***",="-0.415**",="",="",="",="",="",=""
="",="",="",="",="(0.123)",="(0.119)",="(0.146)",="",="",="",="",="",=""

="L4.InfExp_Var_ch",="",="",="",="-0.0345",="-0.0211",="0.0303",="",="",="",="",="",=""
="",="",="",="",="(0.160)",="(0.119)",="(0.152)",="",="",="",="",="",=""

="L.InfExp_Disg_ch",="",="",="",="",="",="",="-0.0839",="-0.358",="-0.409",="",="",=""
="",="",="",="",="",="",="",="(0.290)",="(0.257)",="(0.207)",="",="",=""

="L2.InfExp_Disg_ch",="",="",="",="",="",="",="0.00513",="-0.301",="-0.310",="",="",=""
="",="",="",="",="",="",="",="(0.111)",="(0.203)",="(0.199)",="",="",=""

="L3.InfExp_Disg_ch",="",="",="",="",="",="",="-0.0921",="-0.151",="-0.294",="",="",=""
="",="",="",="",="",="",="",="(0.092)",="(0.160)",="(0.161)",="",="",=""

="L4.InfExp_Disg_ch",="",="",="",="",="",="",="0.0164",="-0.102",="-0.120",="",="",=""
="",="",="",="",="",="",="",="(0.086)",="(0.095)",="(0.125)",="",="",=""

="L.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="0.420*",="0.251**",="0.312**"
="",="",="",="",="",="",="",="",="",="",="(0.171)",="(0.073)",="(0.111)"

="L2.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="0.286*",="0.109",="0.00392"
="",="",="",="",="",="",="",="",="",="",="(0.136)",="(0.060)",="(0.104)"

="L3.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="0.127",="0.225*",="0.122"
="",="",="",="",="",="",="",="",="",="",="(0.156)",="(0.103)",="(0.142)"

="L4.InfExp_FE_ch",="",="",="",="",="",="",="",="",="",="-0.584**",="-0.492*",="-0.465*"
="",="",="",="",="",="",="",="",="",="",="(0.162)",="(0.206)",="(0.176)"

="N",="33",="61",="61",="33",="61",="61",="33",="61",="61",="32",="57",="57"
="r2",="0.190",="0.0736",="0.0950",="0.0395",="0.515",="0.376",="0.0164",="0.129",="0.177",="0.456",="0.278",="0.305"
="ar2",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
